id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-393384,2024-01-05,000001,Vente,40000,4,,PL DES CHARMILLES,1253,34080,34172,Montpellier,34,,,34172000KX0446,,,681,17.92,,,,,,,,,1,2,Appartement,17,1,,,,,,3.837947,43.613467
2024-393386,2024-01-02,000001,Vente,295000,14,,RUE DES MULTIPLIANTS,3905,34000,34172,Montpellier,34,,,34172000HV0014,,,1,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,120,0,,,,,,3.874433,43.608613
2024-393388,2024-01-05,000001,Vente,263660,69,,ALL DU CARLIT,8094,34090,34172,Montpellier,34,,,34172000AP0334,,,46,64.6,,,,,,,,,1,1,Maison,65,3,,,,,,3.852466,43.638047
2024-393388,2024-01-05,000001,Vente,263660,,,ALL DE LA CLAPE,8095,34090,34172,Montpellier,34,,,34172000AP0334,,,140,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.852466,43.638047
2024-393389,2024-01-05,000001,Vente,160500,91,,AV DU VERT BOIS,5770,34090,34172,Montpellier,34,,,34172000AL0233,,,39,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.868303,43.636036
2024-393389,2024-01-05,000001,Vente,160500,91,,AV DU VERT BOIS,5770,34090,34172,Montpellier,34,,,34172000AL0233,,,21,44.68,3,,,,,,,,2,2,Appartement,43,2,,,,,,3.868303,43.636036
2024-393392,2024-01-05,000001,Vente,152550,94,,RUE DE LA CROIX DU SUD,1636,34000,34172,Montpellier,34,,,34172000CN0041,,,9036,,9144,,,,,,,,2,2,Appartement,42,2,,,,,,3.89248,43.613723
2024-393392,2024-01-05,000001,Vente,152550,94,,RUE DE LA CROIX DU SUD,1636,34000,34172,Montpellier,34,,,34172000CN0041,,,9036,,9144,,,,,,,,2,3,Dépendance,,0,,,,,,3.89248,43.613723
2024-393392,2024-01-05,000001,Vente,152550,94,,RUE DE LA CROIX DU SUD,1636,34000,34172,Montpellier,34,,,34172000CN0041,,,9386,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.89248,43.613723
2024-393393,2024-01-05,000001,Vente,131530.8,1,,RUE VERDALE,5720,34000,34172,Montpellier,34,,,34172000BY0093,,,19,,,,,,,,,,1,2,Appartement,29,1,,,,,,3.876283,43.612872
2024-393403,2024-01-03,000001,Vente,16000,32,,AV GEORGES CLEMENCEAU,2580,34000,34172,Montpellier,34,,,34172000HW0403,,,42,,43,,,,,,,,2,3,Dépendance,,0,,,,,,3.871166,43.603199
2024-393404,2024-01-09,000001,Vente,15000,287,,RUE D'ALCO,0155,34080,34172,Montpellier,34,,,34172000KV0030,,,135,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.842248,43.614891
2024-393406,2024-01-09,000001,Vente,170500,805,,AV DU MARECHAL LECLERC,3470,34070,34172,Montpellier,34,,,34172000DV0043,,,18,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.886305,43.593939
2024-393406,2024-01-09,000001,Vente,170500,805,,AV DU MARECHAL LECLERC,3470,34070,34172,Montpellier,34,,,34172000DV0043,,,26,71.69,,,,,,,,,1,2,Appartement,70,3,,,,,,3.886305,43.593939
2024-393406,2024-01-09,000001,Vente,170500,805,,AV DU MARECHAL LECLERC,3470,34070,34172,Montpellier,34,,,34172000DV0043,,,128,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.886305,43.593939
2024-393407,2024-01-04,000001,Vente,100000,41,,RUE DE LA CAVALERIE,1140,34000,34172,Montpellier,34,,,34172000CD0149,,,7,,,,,,,,,,1,2,Appartement,21,1,,,,,,3.88144,43.617544
2024-393408,2024-01-03,000001,Vente en l'état futur d'achèvement,299000,33,,RUE DES CHASSEURS,1260,34070,34172,Montpellier,34,,,34172000IK0366,,,46,,,,,,,,,,1,,,,,,,,,,3.855453,43.602431
2024-393408,2024-01-03,000001,Vente en l'état futur d'achèvement,299000,33,,RUE DES CHASSEURS,1260,34070,34172,Montpellier,34,,,34172000IK0366,,,6,,,,,,,,,,1,,,,,,,,,,3.855453,43.602431
2024-393410,2024-01-03,000001,Vente,78000,119,,RUE ADRIEN PROBY,0094,34090,34172,Montpellier,34,,,34172000AR0099,,,1951,,,,,,,,,,1,2,Appartement,18,1,,,,,,3.856655,43.631871
2024-393410,2024-01-03,000001,Vente,78000,120,,RUE ISAAC AZIMOV,2883,34090,34172,Montpellier,34,,,34172000AR0099,,,1205,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.856655,43.631871
2024-393412,2024-01-04,000001,Vente,65000,525,B,AV PR JEAN LOUIS VIALA,6046,34080,34172,Montpellier,34,,,34172000TO0254,,,118,17.79,60,,,,,,,,2,4,Local industriel. commercial ou assimilé,18,0,,,,,,3.823176,43.635586
2024-393417,2024-01-05,000001,Vente,105000,23,,RUE PROUDHON,4690,34090,34172,Montpellier,34,,,34172000BZ0134,,,18,,19,27.55,,,,,,,2,2,Appartement,30,1,,,,,,3.879915,43.616474
2024-393417,2024-01-05,000001,Vente,105000,23,,RUE PROUDHON,4690,34090,34172,Montpellier,34,,,34172000BZ0134,,,18,,19,27.55,,,,,,,2,2,Appartement,39,1,,,,,,3.879915,43.616474
2024-393421,2024-01-04,000001,Vente,100000,114,,RUE GUILLAUME JANVIER,2707,34070,34172,Montpellier,34,,,34172000EO0451,,,297,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.867128,43.596109
2024-393421,2024-01-04,000001,Vente,100000,114,,RUE GUILLAUME JANVIER,2707,34070,34172,Montpellier,34,,,34172000EO0451,,,27,,28,,,,,,,,2,2,Appartement,40,2,,,,,,3.867128,43.596109
2024-393421,2024-01-04,000001,Vente,100000,114,,RUE GUILLAUME JANVIER,2707,34070,34172,Montpellier,34,,,34172000EO0451,,,27,,28,,,,,,,,2,3,Dépendance,,0,,,,,,3.867128,43.596109
2024-393422,2024-01-12,000001,Vente,47000,33,,RUE FREDERIC BAZILLE,2390,34000,34172,Montpellier,34,,,34172000EV0283,,,20,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.881803,43.601744
2024-393422,2024-01-12,000001,Vente,47000,33,,RUE FREDERIC BAZILLE,2390,34000,34172,Montpellier,34,,,34172000EV0283,,,19,15.1,,,,,,,,,1,2,Appartement,16,1,,,,,,3.881803,43.601744
2024-393423,2024-01-03,000001,Vente,265000,60,,AV ALBERT DUBOUT,0144,34000,34172,Montpellier,34,,,34172000DV0270,,,60,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.878736,43.596726
2024-393423,2024-01-03,000001,Vente,265000,60,,AV ALBERT DUBOUT,0144,34000,34172,Montpellier,34,,,34172000DV0270,,,2,85.83,38,,,,,,,,2,3,Dépendance,,0,,,,,,3.878736,43.596726
2024-393423,2024-01-03,000001,Vente,265000,60,,AV ALBERT DUBOUT,0144,34000,34172,Montpellier,34,,,34172000DV0270,,,2,85.83,38,,,,,,,,2,2,Appartement,88,4,,,,,,3.878736,43.596726
2024-393424,2024-01-09,000001,Vente,135000,71,,QUAI LOUIS LE VAU,3358,34080,34172,Montpellier,34,,,34172000LM0729,,,92,55.93,,,,,,,,,1,2,Appartement,55,2,,,,,,3.826113,43.613047
2024-393424,2024-01-09,000001,Vente,135000,31,,QUAI LOUIS LE VAU,3358,34080,34172,Montpellier,34,,,34172000LM0729,,,66,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.826113,43.613047
2024-393425,2024-01-05,000001,Vente,55619.48,,,,,,34172,Montpellier,34,,,34172000EN0001,,1216,,,,,,,,,,,0,,,,,,,,,,3.860815,43.59335
2024-393425,2024-01-05,000001,Vente,55619.48,1021,,AV DE TOULOUSE,5518,34070,34172,Montpellier,34,,,34172000EN0001,,,304,34.48,,,,,,,,,1,2,Appartement,36,1,,,,,,3.860815,43.59335
