id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-418449,2025-01-06,000001,Vente,213200,99,,AV DE LA REGLISSE,8334,34070,34172,Montpellier,34,,,34172000EK0299,,,234,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.85988,43.583322
2025-418449,2025-01-06,000001,Vente,213200,99,,AV DE LA REGLISSE,8334,34070,34172,Montpellier,34,,,34172000EK0299,,,7,61.68,,,,,,,,,1,2,Appartement,61,3,,,,,,3.85988,43.583322
2025-418458,2025-01-13,000001,Vente,66000,28,Q,RUE BALARD,0480,34000,34172,Montpellier,34,,,34172000HW0404,,,18,,29,13.42,,,,,,,2,3,Dépendance,,0,,,,,,3.871017,43.603451
2025-418458,2025-01-13,000001,Vente,66000,28,Q,RUE BALARD,0480,34000,34172,Montpellier,34,,,34172000HW0404,,,18,,29,13.42,,,,,,,2,2,Appartement,14,1,,,,,,3.871017,43.603451
2025-418460,2025-01-13,000001,Vente,250000,164,,RUE SHIRIN EBADI,1862,34000,34172,Montpellier,34,,,34172000SB0166,,,61,66.15,8,,9,,,,,,3,3,Dépendance,,0,,,,,,3.900028,43.598267
2025-418460,2025-01-13,000001,Vente,250000,164,,RUE SHIRIN EBADI,1862,34000,34172,Montpellier,34,,,34172000SB0166,,,61,66.15,8,,9,,,,,,3,3,Dépendance,,0,,,,,,3.900028,43.598267
2025-418460,2025-01-13,000001,Vente,250000,164,,RUE SHIRIN EBADI,1862,34000,34172,Montpellier,34,,,34172000SB0166,,,61,66.15,8,,9,,,,,,3,2,Appartement,66,3,,,,,,3.900028,43.598267
2025-418461,2025-01-03,000001,Vente,300000,4,,RUE CITE BENOIT,1369,34000,34172,Montpellier,34,,,34172000HL0017,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,105,0,S,sols,,,111,3.883599,43.606492
2025-418462,2025-01-09,000001,Vente,14857,174,,RUE PABLO CASALS,4056,34000,34172,Montpellier,34,,,34172000CE0158,,,21,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.889082,43.621915
2025-418462,2025-01-09,000001,Vente,14857,174,,RUE PABLO CASALS,4056,34000,34172,Montpellier,34,,,34172000CE0158,,,48,,,,,,,,,,1,2,Appartement,81,3,,,,,,3.889082,43.621915
